Brand,Actual_price,Discount_price,rating,RAM,Storage,processors,windows
HP,"₹1,89,900","₹45,990",4.2,16 GB,512 GB,,Windows 11
Apple,"₹1,01,990","₹1,54,990",3,8 GB,512 GB,,
ASUS,,"₹84,990",5,8 GB,512 GB,,
CHUWI,"₹34,990","₹15,990",3.7,8GB,256GB,Ryzen 5,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,256 GB,i5,Windows 11
DELL,"₹54,229","₹39,490",3.8,8 GB,256 GB,i5,Windows 11
HP,"₹33,891","₹22,099",3.4,8 GB,512 GB,i7,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,8 GB,256 GB,Ryzen 5,Windows 11
CHUWI,"₹59,990","₹41,990",4.3,8 GB,256 GB,Ryzen 5,Windows 11
Lenovo,"₹94,690","₹68,190",4,16 GB,512 GB,i3,Windows 11
Thomson,"₹69,990","₹43,990",3.8,16 GB,512 GB,i3,Windows 11
HP,"₹44,990","₹30,990",4.5,16 GB,512 GB,i5,Windows 11
ASUS,"₹79,990","₹50,990",4.1,8 GB,512 GB,Ryzen 3,Windows 11
CHUWI,"₹44,990","₹21,990",4,16 GB,512 GB,Ryzen 5,Windows 11
CHUWI,"₹49,990","₹37,990",3,8 GB,256 GB,Ryzen 5,Windows 11
Acer,"₹34,515","₹52,999",3.7,12GB,512GB,Ryzen 5,Windows 11
HP,"₹42,359","₹15,990",3.9,12 GB,512 GB,i5,Windows 11
HP,"₹2,39,900","₹31,690",4.1,8 GB,512 GB,i5,Windows 11
Apple,"₹67,264","₹2,22,990",4.2,4 GB,512 GB,i7,Windows 11
HP,"₹1,08,190","₹48,990",4.4,8 GB,24 GB,,Windows 11
Lenovo,"₹48,419","₹75,390",3.7,16 GB,512 GB,,Windows 11
HP,"₹2,39,900","₹39,990",4.3,16 GB,512 GB,,Windows 11
Apple,"₹61,147","₹2,22,990",4.7,8 GB,512 GB,,Windows 11
Acer,"₹82,414","₹40,900",4.5,8 GB,24 GB,,
HP,"₹1,14,900","₹69,990",4,16 GB,512 GB,,
Apple,"₹1,53,890","₹1,04,699",5,16 GB,256 GB,,
Lenovo,,"₹97,990",5,16 GB,512 GB,,
CHUWI,"₹34,990","₹15,990",3.7,8GB,256GB,i9,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,256 GB,i5,Windows 11
ASUS,"₹1,79,990","₹1,59,990",4.4,8 GB,256 GB,i5,Windows 11
ASUS,"₹73,490","₹52,990",4.3,16 GB,512 GB,Ryzen 5,Windows 11
HP,"₹75,414","₹59,990",4,16 GB,512 GB,i5,Windows 11
HP,"₹80,314","₹70,990",4.2,16 GB,512 GB,i7,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,16 GB,256 GB,i5,Windows 11
CHUWI,"₹59,990","₹41,990",4.8,8 GB,512 GB,i3,Windows 11
MSI,"₹97,990","₹79,990",4.4,16 GB,512 GB,i3,Windows 11
ASUS,"₹89,990","₹72,990",4.1,16 GB,512 GB,i5,Windows 11
CHUWI,"₹44,990","₹21,990",4,16 GB,256 GB,i7,Windows 11
CHUWI,"₹49,990","₹37,990",4.3,8 GB,512GB,Ryzen 7,Windows 11
Lenovo,"₹1,30,090","₹84,790",5,12GB,512 GB,i7,Windows 11
Acer,"₹79,990","₹53,990",4,12 GB,512 GB,Ryzen 3,Windows 11
HP,"₹1,64,831","₹1,28,490",3.6,16 GB,512 GB,i7,Windows 11
Lenovo,"₹89,640","₹54,990",4,16 GB,512 GB,Ryzen 5,Windows 11
HP,"₹1,57,945","₹1,22,990",4.2,16 GB,32 GB,Ryzen 3,Windows 11
Lenovo,"₹39,990","₹29,990",4.3,16 GB,512 GB,i3,Windows 11
MSI,"₹1,79,990","₹1,54,990",4.3,16 GB,512 GB,i3,Windows 11
Lenovo,"₹59,990","₹34,490",4.2,8 GB,256GB,i3,Windows 11
HP,"₹44,990","₹25,300",5,8 GB,256 GB,,Windows 11
DELL,"₹54,990","₹59,839",4,8 GB,512 GB,,Windows 11
ASUS,,"₹35,990",4.3,8GB,512 GB,,Windows 11
Acer,,"₹1,08,799",5,8 GB,,,Windows 11
HP,"₹30,143","₹20,590",3.7,4 GB,512 GB,i5,Windows 11
HP,"₹86,343","₹64,990",4.3,16 GB,256GB,i5,Windows 11
CHUWI,"₹34,990","₹15,990",3.7,8GB,256 GB,i5,Windows 11
